TM,Move,Type,Cat.,Power,Acc.
06,Toxic,Poison,status,-,-
08,Body Slam,Normal,physical,85,85
09,Take Down,Normal,physical,90,90
10,Double-Edge,Normal,physical,120,120
15,Hyper Beam,Normal,special,150,150
20,Rage,Normal,physical,20,20
26,Earthquake,Ground,physical,100,100
27,Fissure,Ground,physical,-,-
28,Dig,Ground,physical,80,80
31,Mimic,Normal,status,-,-
32,Double Team,Normal,status,-,-
34,Bide,Normal,physical,-,-
44,Rest,Psychic,status,-,-
48,Rock Slide,Rock,physical,75,75
50,Substitute,Normal,status,-,-
