TM,Move,Type,Cat.,Power,Acc.
06,Toxic,Poison,status,-,-
09,Take Down,Normal,physical,90,90
10,Double-Edge,Normal,physical,120,120
20,Rage,Normal,physical,20,20
29,Psychic,Psychic,special,90,90
30,Teleport,Psychic,status,-,-
31,Mimic,Normal,status,-,-
32,Double Team,Normal,status,-,-
33,Reflect,Psychic,status,-,-
34,Bide,Normal,physical,-,-
36,Self-Destruct,Normal,physical,200,200
37,Egg Bomb,Normal,physical,100,100
44,Rest,Psychic,status,-,-
46,Psywave,Psychic,special,-,-
47,Explosion,Normal,physical,250,250
50,Substitute,Normal,status,-,-
