TM,Move,Type,Cat.,Power,Acc.
01,Mega Punch,Normal,physical,80,80
05,Mega Kick,Normal,physical,120,120
06,Toxic,Poison,status,-,-
08,Body Slam,Normal,physical,85,85
09,Take Down,Normal,physical,90,90
10,Double-Edge,Normal,physical,120,120
15,Hyper Beam,Normal,special,150,150
17,Submission,Fighting,physical,80,80
18,Counter,Fighting,physical,-,-
19,Seismic Toss,Fighting,physical,-,-
20,Rage,Normal,physical,20,20
21,Mega Drain,Grass,special,40,40
24,Thunderbolt,Electric,special,90,90
25,Thunder,Electric,special,110,110
29,Psychic,Psychic,special,90,90
31,Mimic,Normal,status,-,-
32,Double Team,Normal,status,-,-
34,Bide,Normal,physical,-,-
35,Metronome,Normal,status,-,-
36,Self-Destruct,Normal,physical,200,200
40,Skull Bash,Normal,physical,130,130
42,Dream Eater,Psychic,special,100,100
44,Rest,Psychic,status,-,-
46,Psywave,Psychic,special,-,-
47,Explosion,Normal,physical,250,250
50,Substitute,Normal,status,-,-
