TM,Move,Type,Cat.,Power,Acc.
06,Toxic,Poison,status,-,-
20,Rage,Normal,physical,20,20
21,Mega Drain,Grass,special,40,40
24,Thunderbolt,Electric,special,90,90
25,Thunder,Electric,special,110,110
29,Psychic,Psychic,special,90,90
31,Mimic,Normal,status,-,-
32,Double Team,Normal,status,-,-
34,Bide,Normal,physical,-,-
36,Self-Destruct,Normal,physical,200,200
42,Dream Eater,Psychic,special,100,100
44,Rest,Psychic,status,-,-
46,Psywave,Psychic,special,-,-
47,Explosion,Normal,physical,250,250
50,Substitute,Normal,status,-,-
