TM,Move,Type,Cat.,Power,Acc.
02,Razor Wind,Normal,special,80,80
04,Whirlwind,Normal,status,-,-
06,Toxic,Poison,status,-,-
09,Take Down,Normal,physical,90,90
10,Double-Edge,Normal,physical,120,120
15,Hyper Beam,Normal,special,150,150
20,Rage,Normal,physical,20,20
31,Mimic,Normal,status,-,-
32,Double Team,Normal,status,-,-
33,Reflect,Psychic,status,-,-
34,Bide,Normal,physical,-,-
38,Fire Blast,Fire,special,110,110
39,Swift,Normal,special,60,60
43,Sky Attack,Flying,physical,140,140
44,Rest,Psychic,status,-,-
50,Substitute,Normal,status,-,-
