TM,Move,Type,Cat.,Power,Acc.
01,Mega Punch,Normal,physical,80,80
05,Mega Kick,Normal,physical,120,120
06,Toxic,Poison,status,-,-
08,Body Slam,Normal,physical,85,85
09,Take Down,Normal,physical,90,90
10,Double-Edge,Normal,physical,120,120
15,Hyper Beam,Normal,special,150,150
16,Pay Day,Normal,physical,40,40
17,Submission,Fighting,physical,80,80
18,Counter,Fighting,physical,-,-
19,Seismic Toss,Fighting,physical,-,-
20,Rage,Normal,physical,20,20
24,Thunderbolt,Electric,special,90,90
25,Thunder,Electric,special,110,110
28,Dig,Ground,physical,80,80
31,Mimic,Normal,status,-,-
32,Double Team,Normal,status,-,-
34,Bide,Normal,physical,-,-
35,Metronome,Normal,status,-,-
39,Swift,Normal,special,60,60
40,Skull Bash,Normal,physical,130,130
44,Rest,Psychic,status,-,-
48,Rock Slide,Rock,physical,75,75
50,Substitute,Normal,status,-,-
