TM,Move,Type,Cat.,Power,Acc.
01,Mega Punch,Normal,physical,80,80
02,Razor Wind,Normal,special,80,80
03,Swords Dance,Normal,status,-,-
04,Whirlwind,Normal,status,-,-
05,Mega Kick,Normal,physical,120,120
06,Toxic,Poison,status,-,-
07,Horn Drill,Normal,physical,-,-
08,Body Slam,Normal,physical,85,85
09,Take Down,Normal,physical,90,90
10,Double-Edge,Normal,physical,120,120
11,Bubble Beam,Water,special,65,65
12,Water Gun,Water,special,40,40
13,Ice Beam,Ice,special,90,90
14,Blizzard,Ice,special,110,110
15,Hyper Beam,Normal,special,150,150
16,Pay Day,Normal,physical,40,40
17,Submission,Fighting,physical,80,80
18,Counter,Fighting,physical,-,-
19,Seismic Toss,Fighting,physical,-,-
20,Rage,Normal,physical,20,20
21,Mega Drain,Grass,special,40,40
22,Solar Beam,Grass,special,120,120
23,Dragon Rage,Dragon,special,-,-
24,Thunderbolt,Electric,special,90,90
25,Thunder,Electric,special,110,110
26,Earthquake,Ground,physical,100,100
27,Fissure,Ground,physical,-,-
28,Dig,Ground,physical,80,80
29,Psychic,Psychic,special,90,90
30,Teleport,Psychic,status,-,-
31,Mimic,Normal,status,-,-
32,Double Team,Normal,status,-,-
33,Reflect,Psychic,status,-,-
34,Bide,Normal,physical,-,-
35,Metronome,Normal,status,-,-
36,Self-Destruct,Normal,physical,200,200
37,Egg Bomb,Normal,physical,100,100
38,Fire Blast,Fire,special,110,110
39,Swift,Normal,special,60,60
40,Skull Bash,Normal,physical,130,130
41,Soft-Boiled,Normal,status,-,-
42,Dream Eater,Psychic,special,100,100
43,Sky Attack,Flying,physical,140,140
44,Rest,Psychic,status,-,-
45,Thunder Wave,Electric,status,-,-
46,Psywave,Psychic,special,-,-
47,Explosion,Normal,physical,250,250
48,Rock Slide,Rock,physical,75,75
49,Tri Attack,Normal,special,80,80
50,Substitute,Normal,status,-,-
