TM,Move,Type,Cat.,Power,Acc.
06,Toxic,Poison,status,-,-
09,Take Down,Normal,physical,90,90
10,Double-Edge,Normal,physical,120,120
11,Bubble Beam,Water,special,65,65
12,Water Gun,Water,special,40,40
13,Ice Beam,Ice,special,90,90
14,Blizzard,Ice,special,110,110
20,Rage,Normal,physical,20,20
30,Teleport,Psychic,status,-,-
31,Mimic,Normal,status,-,-
32,Double Team,Normal,status,-,-
33,Reflect,Psychic,status,-,-
34,Bide,Normal,physical,-,-
36,Self-Destruct,Normal,physical,200,200
39,Swift,Normal,special,60,60
44,Rest,Psychic,status,-,-
47,Explosion,Normal,physical,250,250
49,Tri Attack,Normal,special,80,80
50,Substitute,Normal,status,-,-
