TM,Move,Type,Cat.,Power,Acc.
06,Toxic,Poison,status,-,-
09,Take Down,Normal,physical,90,90
10,Double-Edge,Normal,physical,120,120
11,Bubble Beam,Water,special,65,65
12,Water Gun,Water,special,40,40
13,Ice Beam,Ice,special,90,90
14,Blizzard,Ice,special,110,110
20,Rage,Normal,physical,20,20
24,Thunderbolt,Electric,special,90,90
25,Thunder,Electric,special,110,110
29,Psychic,Psychic,special,90,90
30,Teleport,Psychic,status,-,-
31,Mimic,Normal,status,-,-
32,Double Team,Normal,status,-,-
33,Reflect,Psychic,status,-,-
34,Bide,Normal,physical,-,-
39,Swift,Normal,special,60,60
40,Skull Bash,Normal,physical,130,130
44,Rest,Psychic,status,-,-
45,Thunder Wave,Electric,status,-,-
46,Psywave,Psychic,special,-,-
49,Tri Attack,Normal,special,80,80
50,Substitute,Normal,status,-,-
