TM,Move,Type,Cat.,Power,Acc.
06,Toxic,Poison,status,-,-
09,Take Down,Normal,physical,90,90
20,Rage,Normal,physical,20,20
24,Thunderbolt,Electric,special,90,90
25,Thunder,Electric,special,110,110
30,Teleport,Psychic,status,-,-
31,Mimic,Normal,status,-,-
32,Double Team,Normal,status,-,-
33,Reflect,Psychic,status,-,-
34,Bide,Normal,physical,-,-
36,Self-Destruct,Normal,physical,200,200
39,Swift,Normal,special,60,60
44,Rest,Psychic,status,-,-
45,Thunder Wave,Electric,status,-,-
47,Explosion,Normal,physical,250,250
50,Substitute,Normal,status,-,-
