TM,Move,Type,Cat.,Power,Acc.
03,Curse,Ghost,status,-,-
06,Toxic,Poison,status,-,-
09,Psych Up,Normal,status,-,-
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
12,Sweet Scent,Normal,status,-,-
13,Snore,Normal,special,50,50
15,Hyper Beam,Normal,special,150,150
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
19,Giga Drain,Grass,special,75,75
20,Endure,Normal,status,-,-
21,Frustration,Normal,physical,-,-
22,Solar Beam,Grass,special,120,120
27,Return,Normal,physical,-,-
29,Psychic,Psychic,special,90,90
30,Shadow Ball,Ghost,special,80,80
31,Mud-Slap,Ground,special,20,20
32,Double Team,Normal,status,-,-
34,Swagger,Normal,status,-,-
35,Sleep Talk,Normal,status,-,-
37,Sandstorm,Rock,status,-,-
39,Swift,Normal,special,60,60
40,Defense Curl,Normal,status,-,-
42,Dream Eater,Psychic,special,100,100
43,Detect,Fighting,status,-,-
44,Rest,Psychic,status,-,-
50,Nightmare,Ghost,status,-,-
