TM,Move,Type,Cat.,Power,Acc.
02,Headbutt,Normal,physical,70,70
03,Curse,Ghost,status,-,-
04,Rollout,Rock,physical,30,30
06,Toxic,Poison,status,-,-
08,Rock Smash,Fighting,physical,40,40
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
12,Sweet Scent,Normal,status,-,-
13,Snore,Normal,special,50,50
15,Hyper Beam,Normal,special,150,150
17,Protect,Normal,status,-,-
19,Giga Drain,Grass,special,75,75
20,Endure,Normal,status,-,-
21,Frustration,Normal,physical,-,-
22,Solar Beam,Grass,special,120,120
27,Return,Normal,physical,-,-
32,Double Team,Normal,status,-,-
34,Swagger,Normal,status,-,-
35,Sleep Talk,Normal,status,-,-
37,Sandstorm,Rock,status,-,-
40,Defense Curl,Normal,status,-,-
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
