TM,Move,Type,Cat.,Power,Acc.
03,Curse,Ghost,status,-,-
06,Toxic,Poison,status,-,-
09,Psych Up,Normal,status,-,-
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
13,Snore,Normal,special,50,50
15,Hyper Beam,Normal,special,150,150
17,Protect,Normal,status,-,-
19,Giga Drain,Grass,special,75,75
20,Endure,Normal,status,-,-
21,Frustration,Normal,physical,-,-
22,Solar Beam,Grass,special,120,120
27,Return,Normal,physical,-,-
29,Psychic,Psychic,special,90,90
32,Double Team,Normal,status,-,-
34,Swagger,Normal,status,-,-
35,Sleep Talk,Normal,status,-,-
39,Swift,Normal,special,60,60
42,Dream Eater,Psychic,special,100,100
43,Detect,Fighting,status,-,-
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
46,Thief,Dark,physical,60,60
50,Nightmare,Ghost,status,-,-
