TM,Move,Type,Cat.,Power,Acc.
03,Curse,Ghost,status,-,-
06,Toxic,Poison,status,-,-
08,Rock Smash,Fighting,physical,40,40
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
13,Snore,Normal,special,50,50
17,Protect,Normal,status,-,-
20,Endure,Normal,status,-,-
21,Frustration,Normal,physical,-,-
26,Earthquake,Ground,physical,100,100
27,Return,Normal,physical,-,-
28,Dig,Ground,physical,80,80
31,Mud-Slap,Ground,special,20,20
32,Double Team,Normal,status,-,-
34,Swagger,Normal,status,-,-
35,Sleep Talk,Normal,status,-,-
36,Sludge Bomb,Poison,special,90,90
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
46,Thief,Dark,physical,60,60
