TM,Move,Type,Cat.,Power,Acc.
02,Headbutt,Normal,physical,70,70
03,Curse,Ghost,status,-,-
06,Toxic,Poison,status,-,-
07,Zap Cannon,Electric,special,120,120
08,Rock Smash,Fighting,physical,40,40
09,Psych Up,Normal,status,-,-
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
13,Snore,Normal,special,50,50
17,Protect,Normal,status,-,-
20,Endure,Normal,status,-,-
21,Frustration,Normal,physical,-,-
23,Iron Tail,Steel,physical,100,100
25,Thunder,Electric,special,110,110
26,Earthquake,Ground,physical,100,100
27,Return,Normal,physical,-,-
29,Psychic,Psychic,special,90,90
30,Shadow Ball,Ghost,special,80,80
31,Mud-Slap,Ground,special,20,20
32,Double Team,Normal,status,-,-
34,Swagger,Normal,status,-,-
35,Sleep Talk,Normal,status,-,-
39,Swift,Normal,special,60,60
42,Dream Eater,Psychic,special,100,100
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
46,Thief,Dark,physical,60,60
50,Nightmare,Ghost,status,-,-
