TM,Move,Type,Cat.,Power,Acc.
01,Dynamic Punch,Fighting,physical,100,100
03,Curse,Ghost,status,-,-
06,Toxic,Poison,status,-,-
07,Zap Cannon,Electric,special,120,120
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
13,Snore,Normal,special,50,50
17,Protect,Normal,status,-,-
19,Giga Drain,Grass,special,75,75
20,Endure,Normal,status,-,-
21,Frustration,Normal,physical,-,-
25,Thunder,Electric,special,110,110
27,Return,Normal,physical,-,-
31,Mud-Slap,Ground,special,20,20
32,Double Team,Normal,status,-,-
33,Ice Punch,Ice,physical,75,75
34,Swagger,Normal,status,-,-
35,Sleep Talk,Normal,status,-,-
36,Sludge Bomb,Poison,special,90,90
38,Fire Blast,Fire,special,110,110
41,Thunder Punch,Electric,physical,75,75
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
46,Thief,Dark,physical,60,60
48,Fire Punch,Fire,physical,75,75
