TM,Move,Type,Cat.,Power,Acc.
02,Headbutt,Normal,physical,70,70
03,Curse,Ghost,status,-,-
05,Roar,Normal,status,-,-
06,Toxic,Poison,status,-,-
07,Zap Cannon,Electric,special,120,120
08,Rock Smash,Fighting,physical,40,40
09,Psych Up,Normal,status,-,-
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
13,Snore,Normal,special,50,50
14,Blizzard,Ice,special,110,110
15,Hyper Beam,Normal,special,150,150
16,Icy Wind,Ice,special,55,55
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
19,Giga Drain,Grass,special,75,75
20,Endure,Normal,status,-,-
21,Frustration,Normal,physical,-,-
23,Iron Tail,Steel,physical,100,100
24,Dragon Breath,Dragon,special,60,60
25,Thunder,Electric,special,110,110
26,Earthquake,Ground,physical,100,100
27,Return,Normal,physical,-,-
29,Psychic,Psychic,special,90,90
30,Shadow Ball,Ghost,special,80,80
31,Mud-Slap,Ground,special,20,20
32,Double Team,Normal,status,-,-
34,Swagger,Normal,status,-,-
35,Sleep Talk,Normal,status,-,-
37,Sandstorm,Rock,status,-,-
39,Swift,Normal,special,60,60
42,Dream Eater,Psychic,special,100,100
43,Detect,Fighting,status,-,-
44,Rest,Psychic,status,-,-
47,Steel Wing,Steel,physical,70,70
50,Nightmare,Ghost,status,-,-
