TM,Move,Type,Cat.,Power,Acc.
03,Curse,Ghost,status,-,-
04,Rollout,Rock,physical,30,30
06,Toxic,Poison,status,-,-
07,Zap Cannon,Electric,special,120,120
10,Hidden Power,Normal,special,60,60
13,Snore,Normal,special,50,50
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
20,Endure,Normal,status,-,-
21,Frustration,Normal,physical,-,-
25,Thunder,Electric,special,110,110
27,Return,Normal,physical,-,-
32,Double Team,Normal,status,-,-
34,Swagger,Normal,status,-,-
35,Sleep Talk,Normal,status,-,-
39,Swift,Normal,special,60,60
44,Rest,Psychic,status,-,-
