TM,Move,Type,Cat.,Power,Acc.
03,Curse,Ghost,status,-,-
06,Toxic,Poison,status,-,-
07,Zap Cannon,Electric,special,120,120
09,Psych Up,Normal,status,-,-
10,Hidden Power,Normal,special,60,60
13,Snore,Normal,special,50,50
14,Blizzard,Ice,special,110,110
15,Hyper Beam,Normal,special,150,150
16,Icy Wind,Ice,special,55,55
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
20,Endure,Normal,status,-,-
21,Frustration,Normal,physical,-,-
25,Thunder,Electric,special,110,110
27,Return,Normal,physical,-,-
29,Psychic,Psychic,special,90,90
32,Double Team,Normal,status,-,-
34,Swagger,Normal,status,-,-
35,Sleep Talk,Normal,status,-,-
39,Swift,Normal,special,60,60
42,Dream Eater,Psychic,special,100,100
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
50,Nightmare,Ghost,status,-,-
