TM,Move,Type,Cat.,Power,Acc.
01,Dynamic Punch,Fighting,physical,100,100
02,Headbutt,Normal,physical,70,70
03,Curse,Ghost,status,-,-
04,Rollout,Rock,physical,30,30
06,Toxic,Poison,status,-,-
08,Rock Smash,Fighting,physical,40,40
10,Hidden Power,Normal,special,60,60
13,Snore,Normal,special,50,50
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
20,Endure,Normal,status,-,-
21,Frustration,Normal,physical,-,-
23,Iron Tail,Steel,physical,100,100
26,Earthquake,Ground,physical,100,100
27,Return,Normal,physical,-,-
28,Dig,Ground,physical,80,80
31,Mud-Slap,Ground,special,20,20
32,Double Team,Normal,status,-,-
33,Ice Punch,Ice,physical,75,75
34,Swagger,Normal,status,-,-
35,Sleep Talk,Normal,status,-,-
36,Sludge Bomb,Poison,special,90,90
37,Sandstorm,Rock,status,-,-
40,Defense Curl,Normal,status,-,-
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
