TM,Move,Type,Cat.,Power,Acc.
03,Curse,Ghost,status,-,-
05,Roar,Normal,status,-,-
06,Toxic,Poison,status,-,-
07,Zap Cannon,Electric,special,120,120
08,Rock Smash,Fighting,physical,40,40
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
13,Snore,Normal,special,50,50
15,Hyper Beam,Normal,special,150,150
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
20,Endure,Normal,status,-,-
21,Frustration,Normal,physical,-,-
25,Thunder,Electric,special,110,110
27,Return,Normal,physical,-,-
31,Mud-Slap,Ground,special,20,20
32,Double Team,Normal,status,-,-
34,Swagger,Normal,status,-,-
35,Sleep Talk,Normal,status,-,-
37,Sandstorm,Rock,status,-,-
39,Swift,Normal,special,60,60
43,Detect,Fighting,status,-,-
44,Rest,Psychic,status,-,-
47,Steel Wing,Steel,physical,70,70
