Lv.,Move,Type,Cat.,Power,Acc.
1,Harden,Normal,status,-,-
1,Headbutt,Normal,physical,70,70
1,Mud-Slap,Ground,special,20,20
1,Tackle,Normal,physical,40,40
4,Harden,Normal,status,-,-
7,Mud-Slap,Ground,special,20,20
10,Headbutt,Normal,physical,70,70
13,Metal Claw,Steel,physical,50,50
17,Iron Defense,Steel,status,-,-
21,Roar,Normal,status,-,-
25,Take Down,Normal,physical,90,90
29,Iron Tail,Steel,physical,100,100
37,Protect,Normal,status,-,-
50,Metal Sound,Steel,status,-,-
63,Double-Edge,Normal,physical,120,120
