TM,Move,Type,Cat.,Power,Acc.
03,Water Pulse,Water,special,60,60
05,Roar,Normal,status,-,-
06,Toxic,Poison,status,-,-
07,Hail,Ice,status,-,-
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
13,Ice Beam,Ice,special,90,90
14,Blizzard,Ice,special,110,110
15,Hyper Beam,Normal,special,150,150
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
21,Frustration,Normal,physical,-,-
27,Return,Normal,physical,-,-
32,Double Team,Normal,status,-,-
33,Reflect,Psychic,status,-,-
37,Sandstorm,Rock,status,-,-
40,Aerial Ace,Flying,physical,60,60
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
47,Steel Wing,Steel,physical,70,70
