TM,Move,Type,Cat.,Power,Acc.
01,Focus Punch,Fighting,physical,150,150
06,Toxic,Poison,status,-,-
08,Bulk Up,Fighting,status,-,-
09,Bullet Seed,Grass,physical,25,25
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
15,Hyper Beam,Normal,special,150,150
17,Protect,Normal,status,-,-
19,Giga Drain,Grass,special,75,75
20,Safeguard,Normal,status,-,-
21,Frustration,Normal,physical,-,-
22,Solar Beam,Grass,special,120,120
23,Iron Tail,Steel,physical,100,100
27,Return,Normal,physical,-,-
31,Brick Break,Fighting,physical,75,75
32,Double Team,Normal,status,-,-
36,Sludge Bomb,Poison,special,90,90
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
49,Snatch,Dark,status,-,-
