Move,Type,Cat.,Power,Acc.
Body Slam,Normal,physical,85,100
Counter,Fighting,physical,-,100
Double-Edge,Normal,physical,120,100
Dynamic Punch,Fighting,physical,100,50
Endure,Normal,status,-,-
Fury Cutter,Bug,physical,40,95
Mega Punch,Normal,physical,80,85
Mimic,Normal,status,-,-
Mud-Slap,Ground,special,20,100
Seismic Toss,Fighting,physical,-,100
Sleep Talk,Normal,status,-,-
Snore,Normal,special,50,100
Substitute,Normal,status,-,-
Swagger,Normal,status,-,85
Swords Dance,Normal,status,-,-
Thunder Punch,Electric,physical,75,100
