Move,Type,Cat.,Power,Acc.
Body Slam,Normal,physical,85,100
Counter,Fighting,physical,-,100
Defense Curl,Normal,status,-,-
Double-Edge,Normal,physical,120,100
Dream Eater,Psychic,special,100,100
Dynamic Punch,Fighting,physical,100,50
Endure,Normal,status,-,-
Icy Wind,Ice,special,55,95
Mega Kick,Normal,physical,120,75
Mega Punch,Normal,physical,80,85
Metronome,Normal,status,-,-
Mimic,Normal,status,-,-
Mud-Slap,Ground,special,20,100
Psych Up,Normal,status,-,-
Rollout,Rock,physical,30,90
Seismic Toss,Fighting,physical,-,100
Sleep Talk,Normal,status,-,-
Snore,Normal,special,50,100
Soft-Boiled,Normal,status,-,-
Substitute,Normal,status,-,-
Swagger,Normal,status,-,85
Thunder Wave,Electric,status,-,90
