TM,Move,Type,Cat.,Power,Acc.
03,Water Pulse,Water,special,60,60
04,Calm Mind,Psychic,status,-,-
06,Toxic,Poison,status,-,-
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
13,Ice Beam,Ice,special,90,90
14,Blizzard,Ice,special,110,110
15,Hyper Beam,Normal,special,150,150
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
20,Safeguard,Normal,status,-,-
21,Frustration,Normal,physical,-,-
22,Solar Beam,Grass,special,120,120
23,Iron Tail,Steel,physical,100,100
24,Thunderbolt,Electric,special,90,90
25,Thunder,Electric,special,110,110
27,Return,Normal,physical,-,-
28,Dig,Ground,physical,80,80
30,Shadow Ball,Ghost,special,80,80
32,Double Team,Normal,status,-,-
34,Shock Wave,Electric,special,60,60
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
