TM,Move,Type,Cat.,Power,Acc.
01,Focus Punch,Fighting,physical,150,150
06,Toxic,Poison,status,-,-
10,Hidden Power,Normal,special,60,60
15,Hyper Beam,Normal,special,150,150
16,Light Screen,Psychic,status,-,-
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
21,Frustration,Normal,physical,-,-
23,Iron Tail,Steel,physical,100,100
24,Thunderbolt,Electric,special,90,90
25,Thunder,Electric,special,110,110
27,Return,Normal,physical,-,-
29,Psychic,Psychic,special,90,90
31,Brick Break,Fighting,physical,75,75
32,Double Team,Normal,status,-,-
34,Shock Wave,Electric,special,60,60
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
46,Thief,Dark,physical,60,60
