Lv.,Move,Type,Cat.,Power,Acc.
1,Arm Thrust,Fighting,physical,15,15
1,Focus Energy,Normal,status,-,-
1,Sand Attack,Ground,status,-,-
1,Tackle,Normal,physical,40,40
4,Sand Attack,Ground,status,-,-
10,Arm Thrust,Fighting,physical,15,15
13,Vital Throw,Fighting,physical,70,70
19,Fake Out,Normal,physical,40,40
22,Whirlwind,Normal,status,-,-
29,Knock Off,Dark,physical,65,65
33,Smelling Salts,Normal,physical,70,70
40,Belly Drum,Normal,status,-,-
44,Endure,Normal,status,-,-
51,Seismic Toss,Fighting,physical,-,-
55,Reversal,Fighting,physical,-,-
