Move,Type,Cat.,Power,Acc.
Body Slam,Normal,physical,85,100
Double-Edge,Normal,physical,120,100
Dynamic Punch,Fighting,physical,100,50
Endure,Normal,status,-,-
Fire Punch,Fire,physical,75,100
Ice Punch,Ice,physical,75,100
Icy Wind,Ice,special,55,95
Mimic,Normal,status,-,-
Mud-Slap,Ground,special,20,100
Sleep Talk,Normal,status,-,-
Snore,Normal,special,50,100
Substitute,Normal,status,-,-
Swagger,Normal,status,-,85
Swords Dance,Normal,status,-,-
Thunder Punch,Electric,physical,75,100
