Move,Type,Cat.,Power,Acc.
Body Slam,Normal,physical,85,100
Defense Curl,Normal,status,-,-
Double-Edge,Normal,physical,120,100
Dynamic Punch,Fighting,physical,100,50
Endure,Normal,status,-,-
Explosion,Normal,physical,250,100
Fury Cutter,Bug,physical,40,95
Ice Punch,Ice,physical,75,100
Icy Wind,Ice,special,55,95
Mimic,Normal,status,-,-
Mud-Slap,Ground,special,20,100
Psych Up,Normal,status,-,-
Rock Slide,Rock,physical,75,90
Rollout,Rock,physical,30,90
Sleep Talk,Normal,status,-,-
Snore,Normal,special,50,100
Substitute,Normal,status,-,-
Swagger,Normal,status,-,85
Swift,Normal,special,60,∞
Thunder Punch,Electric,physical,75,100
