Move,Type,Cat.,Power,Acc.
Body Slam,Normal,physical,85,100
Counter,Fighting,physical,-,100
Defense Curl,Normal,status,-,-
Double-Edge,Normal,physical,120,100
Dynamic Punch,Fighting,physical,100,50
Endure,Normal,status,-,-
Mega Kick,Normal,physical,120,75
Mega Punch,Normal,physical,80,85
Metronome,Normal,status,-,-
Mimic,Normal,status,-,-
Mud-Slap,Ground,special,20,100
Rollout,Rock,physical,30,90
Seismic Toss,Fighting,physical,-,100
Sleep Talk,Normal,status,-,-
Snore,Normal,special,50,100
Substitute,Normal,status,-,-
Swagger,Normal,status,-,85
Swift,Normal,special,60,∞
Thunder Punch,Electric,physical,75,100
Thunder Wave,Electric,status,-,90
