TM,Move,Type,Cat.,Power,Acc.
06,Toxic,Poison,status,-,-
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
15,Hyper Beam,Normal,special,150,150
17,Protect,Normal,status,-,-
21,Frustration,Normal,physical,-,-
22,Solar Beam,Grass,special,120,120
23,Iron Tail,Steel,physical,100,100
27,Return,Normal,physical,-,-
32,Double Team,Normal,status,-,-
35,Flamethrower,Fire,special,90,90
38,Fire Blast,Fire,special,110,110
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
50,Overheat,Fire,special,130,130
