TM,Move,Type,Cat.,Power,Acc.
02,Dragon Claw,Dragon,physical,80,80
05,Roar,Normal,status,-,-
06,Toxic,Poison,status,-,-
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
15,Hyper Beam,Normal,special,150,150
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
21,Frustration,Normal,physical,-,-
23,Iron Tail,Steel,physical,100,100
26,Earthquake,Ground,physical,100,100
27,Return,Normal,physical,-,-
31,Brick Break,Fighting,physical,75,75
32,Double Team,Normal,status,-,-
35,Flamethrower,Fire,special,90,90
38,Fire Blast,Fire,special,110,110
39,Rock Tomb,Rock,physical,60,60
40,Aerial Ace,Flying,physical,60,60
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
47,Steel Wing,Steel,physical,70,70
