TM,Move,Type,Cat.,Power,Acc.
03,Water Pulse,Water,special,60,60
06,Toxic,Poison,status,-,-
07,Hail,Ice,status,-,-
10,Hidden Power,Normal,special,60,60
13,Ice Beam,Ice,special,90,90
14,Blizzard,Ice,special,110,110
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
20,Safeguard,Normal,status,-,-
21,Frustration,Normal,physical,-,-
27,Return,Normal,physical,-,-
32,Double Team,Normal,status,-,-
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
46,Thief,Dark,physical,60,60
