TM,Move,Type,Cat.,Power,Acc.
05,Roar,Normal,status,-,-
06,Toxic,Poison,status,-,-
09,Bullet Seed,Grass,physical,25,25
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
15,Hyper Beam,Normal,special,150,150
17,Protect,Normal,status,-,-
19,Giga Drain,Grass,special,75,75
21,Frustration,Normal,physical,-,-
22,Solar Beam,Grass,special,120,120
26,Earthquake,Ground,physical,100,100
27,Return,Normal,physical,-,-
32,Double Team,Normal,status,-,-
36,Sludge Bomb,Poison,special,90,90
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
