Lv.,Move,Type,Cat.,Power,Acc.
1,Growl,Normal,status,-,-
1,Rollout,Rock,physical,30,30
1,Splash,Normal,status,-,-
1,Water Gun,Water,special,40,40
5,Growl,Normal,status,-,-
10,Water Gun,Water,special,40,40
14,Rollout,Rock,physical,30,30
19,Whirlpool,Water,special,35,35
23,Astonish,Ghost,physical,30,30
28,Water Pulse,Water,special,60,60
32,Mist,Ice,status,-,-
37,Rest,Psychic,status,-,-
44,Water Spout,Water,special,150,150
52,Amnesia,Psychic,status,-,-
59,Hydro Pump,Water,special,110,110
