Lv.,Move,Type,Cat.,Power,Acc.
1,Absorb,Grass,special,20,20
1,Growth,Normal,status,-,-
1,Leer,Normal,status,-,-
1,Poison Sting,Poison,physical,15,15
1,Revenge,Fighting,physical,60,60
5,Absorb,Grass,special,20,20
9,Growth,Normal,status,-,-
13,Leech Seed,Grass,status,-,-
17,Sand Attack,Ground,status,-,-
21,Pin Missile,Bug,physical,25,25
25,Ingrain,Grass,status,-,-
29,Feint Attack,Dark,physical,60,60
35,Spikes,Ground,status,-,-
41,Needle Arm,Grass,physical,60,60
47,Cotton Spore,Grass,status,-,-
53,Sandstorm,Rock,status,-,-
59,Destiny Bond,Ghost,status,-,-
