Lv.,Move,Type,Cat.,Power,Acc.
1,Barrier,Psychic,status,-,-
5,Confusion,Psychic,special,50,50
8,Substitute,Normal,status,-,-
12,Meditate,Psychic,status,-,-
15,Double Slap,Normal,physical,15,15
19,Light Screen,Psychic,status,-,-
19,Reflect,Psychic,status,-,-
22,Magical Leaf,Grass,special,60,60
26,Encore,Normal,status,-,-
29,Psybeam,Psychic,special,65,65
33,Recycle,Normal,status,-,-
36,Trick,Psychic,status,-,-
40,Role Play,Psychic,status,-,-
43,Psychic,Psychic,special,90,90
47,Baton Pass,Normal,status,-,-
50,Safeguard,Normal,status,-,-
