TM,Move,Type,Cat.,Power,Acc.
03,Water Pulse,Water,special,60,60
06,Toxic,Poison,status,-,-
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
17,Protect,Normal,status,-,-
21,Frustration,Normal,physical,-,-
27,Return,Normal,physical,-,-
28,Dig,Ground,physical,80,80
31,Brick Break,Fighting,physical,75,75
32,Double Team,Normal,status,-,-
37,Sandstorm,Rock,status,-,-
39,Rock Tomb,Rock,physical,60,60
40,Aerial Ace,Flying,physical,60,60
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
