TM,Move,Type,Cat.,Power,Acc.
05,Roar,Normal,status,-,-
06,Toxic,Poison,status,-,-
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
15,Hyper Beam,Normal,special,150,150
17,Protect,Normal,status,-,-
21,Frustration,Normal,physical,-,-
23,Iron Tail,Steel,physical,100,100
26,Earthquake,Ground,physical,100,100
27,Return,Normal,physical,-,-
32,Double Team,Normal,status,-,-
37,Sandstorm,Rock,status,-,-
39,Rock Tomb,Rock,physical,60,60
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
