TM,Move,Type,Cat.,Power,Acc.
06,Toxic,Poison,status,-,-
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
21,Frustration,Normal,physical,-,-
23,Iron Tail,Steel,physical,100,100
27,Return,Normal,physical,-,-
28,Dig,Ground,physical,80,80
30,Shadow Ball,Ghost,special,80,80
32,Double Team,Normal,status,-,-
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
