TM,Move,Type,Cat.,Power,Acc.
01,Focus Punch,Fighting,physical,150,150
06,Toxic,Poison,status,-,-
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
12,Taunt,Dark,status,-,-
13,Ice Beam,Ice,special,90,90
15,Hyper Beam,Normal,special,150,150
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
21,Frustration,Normal,physical,-,-
22,Solar Beam,Grass,special,120,120
27,Return,Normal,physical,-,-
31,Brick Break,Fighting,physical,75,75
32,Double Team,Normal,status,-,-
35,Flamethrower,Fire,special,90,90
36,Sludge Bomb,Poison,special,90,90
37,Sandstorm,Rock,status,-,-
38,Fire Blast,Fire,special,110,110
39,Rock Tomb,Rock,physical,60,60
41,Torment,Dark,status,-,-
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
