TM,Move,Type,Cat.,Power,Acc.
01,Focus Punch,Fighting,physical,150,150
04,Calm Mind,Psychic,status,-,-
06,Toxic,Poison,status,-,-
08,Bulk Up,Fighting,status,-,-
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
15,Hyper Beam,Normal,special,150,150
16,Light Screen,Psychic,status,-,-
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
21,Frustration,Normal,physical,-,-
27,Return,Normal,physical,-,-
29,Psychic,Psychic,special,90,90
30,Shadow Ball,Ghost,special,80,80
31,Brick Break,Fighting,physical,75,75
32,Double Team,Normal,status,-,-
33,Reflect,Psychic,status,-,-
39,Rock Tomb,Rock,physical,60,60
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
