TM,Move,Type,Cat.,Power,Acc.
03,Water Pulse,Water,special,60,60
06,Toxic,Poison,status,-,-
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
12,Taunt,Dark,status,-,-
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
21,Frustration,Normal,physical,-,-
23,Iron Tail,Steel,physical,100,100
24,Thunderbolt,Electric,special,90,90
25,Thunder,Electric,special,110,110
27,Return,Normal,physical,-,-
28,Dig,Ground,physical,80,80
30,Shadow Ball,Ghost,special,80,80
32,Double Team,Normal,status,-,-
34,Shock Wave,Electric,special,60,60
40,Aerial Ace,Flying,physical,60,60
41,Torment,Dark,status,-,-
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
46,Thief,Dark,physical,60,60
49,Snatch,Dark,status,-,-
