TM,Move,Type,Cat.,Power,Acc.
04,Calm Mind,Psychic,status,-,-
06,Toxic,Poison,status,-,-
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
15,Hyper Beam,Normal,special,150,150
16,Light Screen,Psychic,status,-,-
17,Protect,Normal,status,-,-
20,Safeguard,Normal,status,-,-
21,Frustration,Normal,physical,-,-
22,Solar Beam,Grass,special,120,120
26,Earthquake,Ground,physical,100,100
27,Return,Normal,physical,-,-
29,Psychic,Psychic,special,90,90
30,Shadow Ball,Ghost,special,80,80
32,Double Team,Normal,status,-,-
33,Reflect,Psychic,status,-,-
35,Flamethrower,Fire,special,90,90
37,Sandstorm,Rock,status,-,-
38,Fire Blast,Fire,special,110,110
39,Rock Tomb,Rock,physical,60,60
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
48,Skill Swap,Psychic,status,-,-
50,Overheat,Fire,special,130,130
