TM,Move,Type,Cat.,Power,Acc.
03,Water Pulse,Water,special,60,60
06,Toxic,Poison,status,-,-
07,Hail,Ice,status,-,-
10,Hidden Power,Normal,special,60,60
13,Ice Beam,Ice,special,90,90
14,Blizzard,Ice,special,110,110
15,Hyper Beam,Normal,special,150,150
16,Light Screen,Psychic,status,-,-
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
21,Frustration,Normal,physical,-,-
24,Thunderbolt,Electric,special,90,90
25,Thunder,Electric,special,110,110
27,Return,Normal,physical,-,-
29,Psychic,Psychic,special,90,90
32,Double Team,Normal,status,-,-
33,Reflect,Psychic,status,-,-
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
48,Skill Swap,Psychic,status,-,-
