TM,Move,Type,Cat.,Power,Acc.
01,Focus Punch,Fighting,physical,150,150
03,Water Pulse,Water,special,60,60
05,Roar,Normal,status,-,-
06,Toxic,Poison,status,-,-
07,Hail,Ice,status,-,-
10,Hidden Power,Normal,special,60,60
13,Ice Beam,Ice,special,90,90
14,Blizzard,Ice,special,110,110
15,Hyper Beam,Normal,special,150,150
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
21,Frustration,Normal,physical,-,-
23,Iron Tail,Steel,physical,100,100
26,Earthquake,Ground,physical,100,100
27,Return,Normal,physical,-,-
28,Dig,Ground,physical,80,80
31,Brick Break,Fighting,physical,75,75
32,Double Team,Normal,status,-,-
39,Rock Tomb,Rock,physical,60,60
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
