TM,Move,Type,Cat.,Power,Acc.
06,Toxic,Poison,status,-,-
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
15,Hyper Beam,Normal,special,150,150
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
21,Frustration,Normal,physical,-,-
27,Return,Normal,physical,-,-
32,Double Team,Normal,status,-,-
40,Aerial Ace,Flying,physical,60,60
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
46,Thief,Dark,physical,60,60
47,Steel Wing,Steel,physical,70,70
