TM,Move,Type,Cat.,Power,Acc.
06,Toxic,Poison,status,-,-
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
12,Taunt,Dark,status,-,-
15,Hyper Beam,Normal,special,150,150
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
21,Frustration,Normal,physical,-,-
24,Thunderbolt,Electric,special,90,90
25,Thunder,Electric,special,110,110
27,Return,Normal,physical,-,-
30,Shadow Ball,Ghost,special,80,80
32,Double Team,Normal,status,-,-
34,Shock Wave,Electric,special,60,60
35,Flamethrower,Fire,special,90,90
36,Sludge Bomb,Poison,special,90,90
38,Fire Blast,Fire,special,110,110
41,Torment,Dark,status,-,-
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
45,Attract,Normal,status,-,-
46,Thief,Dark,physical,60,60
