TM,Move,Type,Cat.,Power,Acc.
05,Roar,Normal,status,-,-
06,Toxic,Poison,status,-,-
10,Hidden Power,Normal,special,60,60
11,Sunny Day,Fire,status,-,-
15,Hyper Beam,Normal,special,150,150
16,Light Screen,Psychic,status,-,-
17,Protect,Normal,status,-,-
18,Rain Dance,Water,status,-,-
21,Frustration,Normal,physical,-,-
24,Thunderbolt,Electric,special,90,90
25,Thunder,Electric,special,110,110
27,Return,Normal,physical,-,-
32,Double Team,Normal,status,-,-
34,Shock Wave,Electric,special,60,60
37,Sandstorm,Rock,status,-,-
40,Aerial Ace,Flying,physical,60,60
42,Facade,Normal,physical,70,70
43,Secret Power,Normal,physical,70,70
44,Rest,Psychic,status,-,-
47,Steel Wing,Steel,physical,70,70
