Ability Capsule,Hold items,A capsule that allows a Pok\xc3\xa9mon with two Abilities to switch between these Abilities when it is used.
Ability Urge,Battle items,"When used, it activates the Ability of an ally Pok\xc3\xa9mon."
Abomasite,Hold items,Enables Abomasnow to Mega Evolve during battle.
Absolite,Hold items,Enables Absol to Mega Evolve during battle.
Absorb Bulb,Hold items,"A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise."
Adamant Mint,Battle items,Changes the Pok\xc3\xa9mon\'s stats to match the Adamant nature.
Adamant Orb,Hold items,Increases the power of Dragon- and Steel-type moves when held by Dialga.
Adrenaline Orb,Hold items,"Using it makes wild Pok\xc3\xa9mon more likely to call for help. If held by a Pok\xc3\xa9mon, it boosts Speed when intimidated. It can be used only once."
Aerodactylite,Hold items,Enables Aerodactyl to Mega Evolve during battle.
Aggronite,Hold items,Enables Aggron to Mega Evolve during battle.
Aguav Berry,Berries,"Restores HP if it\'s low, but may cause confusion."
Air Balloon,Hold items,"When held by a Pok\xc3\xa9mon, the Pok\xc3\xa9mon will float into the air. When the holder is attacked, this item will burst."
Alakazite,Hold items,Enables Alakazam to Mega Evolve during battle.
Aloraichium Z,Hold items,"Allows Alolan Raichu to upgrade Thunderbolt to a Z-Move, Stoked Sparksurfer."
Altarianite,Hold items,Enables Altaria to Mega Evolve during battle.
Ampharosite,Hold items,Enables Ampharos to Mega Evolve during battle.
Amulet Coin,Hold items,Doubles prize money if held.
Antidote,Medicine,A spray-type medicine. It lifts the effect of poison from one Pok\xc3\xa9mon.
Apicot Berry,Berries,Raises Special Defense when HP is low.
Armor Fossil,General items,A fossil from a prehistoric Pok\xc3\xa9mon that lived on the land. It appears to be part of a collar.
Aspear Berry,Berries,"If held by a Pok\xc3\xa9mon, it defrosts it."
Assault Vest,Hold items,Raises Special Defense but prevents the use of status moves.
Audinite,Hold items,Enables Audino to Mega Evolve during battle.
Awakening,Medicine,A spray-type medicine. It awakens a Pok\xc3\xa9mon from the clutches of sleep.
Babiri Berry,Berries,Weakens a supereffective Steel-type attack against the holding Pok\xc3\xa9mon.
Balm Mushroom,General items,A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price.
Banettite,Hold items,Enables Banette to Mega Evolve during battle.
Beach Glass,General items,A piece of colored glass. Waves have rounded its edges. It\'s slightly rough to the touch.
